iter	Passed	Remaining
0	4	445
1	8	404
2	12	400
3	15	377
4	19	373
5	23	369
6	27	368
7	31	360
8	34	347
9	36	332
10	39	319
11	41	304
12	43	289
13	45	277
14	46	263
15	47	251
16	49	241
17	50	231
18	51	221
19	53	212
20	54	204
21	55	196
22	56	189
23	57	182
24	58	176
25	59	169
26	60	164
27	61	158
28	62	153
29	63	148
30	64	143
31	65	138
32	66	134
33	67	130
34	67	126
35	68	122
36	69	118
37	70	115
38	71	111
39	72	108
40	73	105
41	73	101
42	74	98
43	75	95
44	75	92
45	76	90
46	77	87
47	78	85
48	79	82
49	80	80
50	81	77
51	81	75
52	82	73
53	83	71
54	84	68
55	84	66
56	85	64
57	86	62
58	87	60
59	88	58
60	89	56
61	89	55
62	90	53
63	91	51
64	92	49
65	93	48
66	94	46
67	95	44
68	95	43
69	96	41
70	97	39
71	98	38
72	99	36
73	100	35
74	101	33
75	101	32
76	102	30
77	103	29
78	104	27
79	105	26
80	106	24
81	106	23
82	107	22
83	108	20
84	109	19
85	110	17
86	111	16
87	111	15
88	112	13
89	113	12
90	114	11
91	115	10
92	116	8
93	116	7
94	117	6
95	118	4
96	119	3
97	120	2
98	121	1
99	122	0
